feature_subset,fold,accuracy,auroc,conv_type,hidden_dim,n_layers,dropout
topology_only,0,0.81,0.8634876110331932,SAGE,32,3,0.3
topology_only,1,0.82,0.873046875,SAGE,32,3,0.3
topology_only,2,0.83,0.8896103896103897,SAGE,32,3,0.3
topology_only,3,0.83,0.881904761904762,SAGE,32,3,0.3
topology_only,4,0.81,0.8620833333333333,SAGE,32,3,0.3
geometry,0,0.96,1.0,SAGE,32,3,0.3
geometry,1,0.99,1.0,SAGE,32,3,0.3
geometry,2,0.98,0.9954827780914738,SAGE,32,3,0.3
geometry,3,0.98,1.0,SAGE,32,3,0.3
geometry,4,0.99,0.9995833333333333,SAGE,32,3,0.3
hydraulic,0,0.97,0.9943899018232819,SAGE,32,3,0.3
hydraulic,1,0.96,0.9973958333333333,SAGE,32,3,0.3
hydraulic,2,0.94,0.9932241671372106,SAGE,32,3,0.3
hydraulic,3,0.97,0.9952380952380953,SAGE,32,3,0.3
hydraulic,4,0.95,0.9874999999999999,SAGE,32,3,0.3
full,0,0.98,0.9995324918186068,SAGE,32,3,0.3
full,1,1.0,1.0,SAGE,32,3,0.3
full,2,0.97,0.9983060417843027,SAGE,32,3,0.3
full,3,0.99,1.0,SAGE,32,3,0.3
full,4,0.97,0.9995833333333333,SAGE,32,3,0.3
