conv_type,hidden_dim,n_layers,dropout,fold,accuracy,auroc
GCN,32,2,0.1,0,0.95,0.9971949509116409
GCN,32,2,0.1,1,0.96,0.9982638888888888
GCN,32,2,0.1,2,0.95,0.9983060417843027
GCN,32,2,0.1,3,0.95,0.9966666666666667
GCN,32,2,0.1,4,0.96,0.9933333333333333
GCN,32,2,0.3,0,0.91,0.9957924263674615
GCN,32,2,0.3,1,0.93,0.9930555555555556
GCN,32,2,0.3,2,0.91,0.992094861660079
GCN,32,2,0.3,3,0.96,0.991904761904762
GCN,32,2,0.3,4,0.92,0.9887499999999999
GCN,32,2,0.5,0,0.95,0.9911173445535297
GCN,32,2,0.5,1,0.97,0.9921875
GCN,32,2,0.5,2,0.93,0.9847543760587238
GCN,32,2,0.5,3,0.95,0.9857142857142858
GCN,32,2,0.5,4,0.89,0.9870833333333333
GCN,32,3,0.1,0,0.98,0.9967274427302477
GCN,32,3,0.1,1,0.97,0.997829861111111
GCN,32,3,0.1,2,0.94,0.9971767363071711
GCN,32,3,0.1,3,0.98,0.9985714285714286
GCN,32,3,0.1,4,0.98,0.9983333333333333
GCN,32,3,0.3,0,0.98,0.9953249181860683
GCN,32,3,0.3,1,0.96,0.997829861111111
GCN,32,3,0.3,2,0.95,0.9943534726143421
GCN,32,3,0.3,3,0.96,0.9938095238095238
GCN,32,3,0.3,4,0.95,0.9916666666666667
GCN,32,3,0.5,0,0.94,0.9957924263674615
GCN,32,3,0.5,1,0.94,0.9930555555555556
GCN,32,3,0.5,2,0.95,0.9841897233201581
GCN,32,3,0.5,3,0.95,0.9904761904761905
GCN,32,3,0.5,4,0.94,0.9891666666666667
GCN,32,4,0.1,0,0.96,0.997194950911641
GCN,32,4,0.1,1,0.97,0.9991319444444444
GCN,32,4,0.1,2,0.98,0.9971767363071711
GCN,32,4,0.1,3,0.98,1.0
GCN,32,4,0.1,4,0.99,0.9995833333333333
GCN,32,4,0.3,0,0.94,0.9957924263674615
GCN,32,4,0.3,1,0.98,0.9973958333333334
GCN,32,4,0.3,2,0.88,0.9932241671372106
GCN,32,4,0.3,3,0.95,0.991904761904762
GCN,32,4,0.3,4,0.96,0.9954166666666666
GCN,32,4,0.5,0,0.91,0.9850397381954185
GCN,32,4,0.5,1,0.91,0.9895833333333334
GCN,32,4,0.5,2,0.82,0.9841897233201581
GCN,32,4,0.5,3,0.89,0.9895238095238096
GCN,32,4,0.5,4,0.9,0.98375
GCN,64,2,0.1,0,0.95,0.9995324918186068
GCN,64,2,0.1,1,0.98,0.9973958333333333
GCN,64,2,0.1,2,0.98,0.9966120835686053
GCN,64,2,0.1,3,0.97,0.9971428571428571
GCN,64,2,0.1,4,0.99,0.9979166666666667
GCN,64,2,0.3,0,0.93,0.9971949509116409
GCN,64,2,0.3,1,0.98,0.9982638888888888
GCN,64,2,0.3,2,0.94,0.9994353472614342
GCN,64,2,0.3,3,0.97,0.9980952380952381
GCN,64,2,0.3,4,0.92,0.9941666666666666
GCN,64,2,0.5,0,0.95,0.9962599345488546
GCN,64,2,0.5,1,0.94,0.9969618055555556
GCN,64,2,0.5,2,0.96,0.9926595143986447
GCN,64,2,0.5,3,0.96,0.9914285714285714
GCN,64,2,0.5,4,0.95,0.9916666666666667
GCN,64,3,0.1,0,0.97,0.9995324918186068
GCN,64,3,0.1,1,0.98,0.9986979166666666
GCN,64,3,0.1,2,0.96,0.994918125352908
GCN,64,3,0.1,3,0.98,0.9952380952380953
GCN,64,3,0.1,4,0.98,0.9987499999999999
GCN,64,3,0.3,0,0.97,0.9981299672744274
GCN,64,3,0.3,1,0.97,0.9991319444444444
GCN,64,3,0.3,2,0.95,0.994918125352908
GCN,64,3,0.3,3,0.97,0.9980952380952381
GCN,64,3,0.3,4,0.96,0.9966666666666667
GCN,64,3,0.5,0,0.98,0.9976624590930341
GCN,64,3,0.5,1,0.95,0.9952256944444444
GCN,64,3,0.5,2,0.93,0.9898362507058159
GCN,64,3,0.5,3,0.94,0.9928571428571429
GCN,64,3,0.5,4,0.97,0.9945833333333334
GCN,64,4,0.1,0,0.98,0.9981299672744273
GCN,64,4,0.1,1,0.98,0.9995659722222222
GCN,64,4,0.1,2,0.94,0.9926595143986449
GCN,64,4,0.1,3,0.98,0.9995238095238095
GCN,64,4,0.1,4,0.98,0.9991666666666666
GCN,64,4,0.3,0,0.99,0.9962599345488546
GCN,64,4,0.3,1,0.98,0.9991319444444444
GCN,64,4,0.3,2,0.93,0.9960474308300395
GCN,64,4,0.3,3,0.97,0.9966666666666667
GCN,64,4,0.3,4,0.98,0.9974999999999999
GCN,64,4,0.5,0,0.97,0.9929873772791024
GCN,64,4,0.5,1,0.95,0.9917534722222223
GCN,64,4,0.5,2,0.91,0.9932241671372106
GCN,64,4,0.5,3,0.86,0.9890476190476191
GCN,64,4,0.5,4,0.92,0.9941666666666666
GCN,128,2,0.1,0,0.95,0.9976624590930341
GCN,128,2,0.1,1,0.93,0.9986979166666666
GCN,128,2,0.1,2,0.94,0.9983060417843027
GCN,128,2,0.1,3,0.97,0.9990476190476191
GCN,128,2,0.1,4,0.97,0.9970833333333333
GCN,128,2,0.3,0,0.97,1.0
GCN,128,2,0.3,1,0.97,0.9973958333333333
GCN,128,2,0.3,2,0.98,0.9915302089215133
GCN,128,2,0.3,3,0.97,0.9971428571428571
GCN,128,2,0.3,4,0.97,0.9979166666666667
GCN,128,2,0.5,0,0.95,0.9971949509116409
GCN,128,2,0.5,1,0.98,0.99609375
GCN,128,2,0.5,2,0.93,0.994918125352908
GCN,128,2,0.5,3,0.96,0.9942857142857143
GCN,128,2,0.5,4,0.97,0.9966666666666667
GCN,128,3,0.1,0,0.97,0.9990649836372137
GCN,128,3,0.1,1,0.97,0.9995659722222222
GCN,128,3,0.1,2,0.95,0.9926595143986449
GCN,128,3,0.1,3,0.98,0.9966666666666667
GCN,128,3,0.1,4,0.98,0.9983333333333333
GCN,128,3,0.3,0,0.98,0.9990649836372137
GCN,128,3,0.3,1,0.97,0.9969618055555556
GCN,128,3,0.3,2,0.96,0.9915302089215133
GCN,128,3,0.3,3,0.97,0.9980952380952381
GCN,128,3,0.3,4,0.98,0.9970833333333333
GCN,128,3,0.5,0,0.98,0.9957924263674613
GCN,128,3,0.5,1,0.96,0.9947916666666666
GCN,128,3,0.5,2,0.95,0.9960474308300395
GCN,128,3,0.5,3,0.95,0.9938095238095238
GCN,128,3,0.5,4,0.98,0.9979166666666667
GCN,128,4,0.1,0,0.98,1.0
GCN,128,4,0.1,1,0.99,0.9995659722222222
GCN,128,4,0.1,2,0.99,0.9994353472614342
GCN,128,4,0.1,3,0.98,0.9985714285714286
GCN,128,4,0.1,4,0.98,0.9995833333333333
GCN,128,4,0.3,0,0.98,0.9981299672744273
GCN,128,4,0.3,1,0.98,0.9995659722222222
GCN,128,4,0.3,2,0.98,1.0
GCN,128,4,0.3,3,0.97,0.9966666666666667
GCN,128,4,0.3,4,0.97,0.9983333333333334
GCN,128,4,0.5,0,0.98,0.9962599345488546
GCN,128,4,0.5,1,0.94,0.9969618055555556
GCN,128,4,0.5,2,0.92,0.9937888198757765
GCN,128,4,0.5,3,0.91,0.9952380952380953
GCN,128,4,0.5,4,0.96,0.9966666666666667
SAGE,32,2,0.1,0,0.97,0.9995324918186068
SAGE,32,2,0.1,1,0.99,1.0
SAGE,32,2,0.1,2,0.98,0.9960474308300395
